城市,招聘企业数,职位总数,平均薪资,薪资中位数,薪资标准差,本科要求数,本科要求占比,纬度,经度,行业多样性指数,岗位密度,薪资水平,多样性,人才吸引力指数
北京,995,15780,11109.813426555318,9000.0,7394.0711076247635,6516,41.3,39.9,116.41,1.962,50.0,17.3,19.7,87.0
深圳,1219,15047,11895.51171936448,9500.0,10306.375076964137,5251,34.9,22.54,114.06,1.994,47.7,18.2,20.0,85.9
苏州,535,7428,10399.632521690457,9000.0,8412.79974679343,1997,26.9,31.3,120.59,1.771,23.5,17.3,17.8,58.599999999999994
昆山,78,1104,21670.185185185186,15625.0,17544.01152777109,265,24.0,31.39,120.75,1.183,3.5,30.0,11.9,45.4
上海,171,3124,10514.670513463789,9000.0,7807.51239285416,1009,32.3,31.23,121.47,1.607,9.9,17.3,16.1,43.300000000000004
杭州,104,748,13221.392351274788,10500.0,10289.663932562169,251,33.6,30.27,120.16,1.824,2.4,20.2,18.3,40.9
武汉,102,850,12169.116730279899,10000.0,14699.690772051017,381,44.8,30.59,114.31,1.83,2.7,19.2,18.4,40.3
成都,112,1059,11202.55291005291,10000.0,7278.8841670670545,472,44.6,30.57,104.07,1.717,3.4,19.2,17.2,39.8
南京,69,472,13227.313915857605,10000.0,14200.145679330053,177,37.5,32.06,118.8,1.463,1.5,19.2,14.7,35.4
郑州,60,429,12363.997785160576,10000.0,8457.959140447334,194,45.2,34.75,113.63,1.469,1.4,19.2,14.7,35.3
广州,126,1459,10203.330592924764,6500.0,13660.160693291078,530,36.3,23.13,113.26,1.811,4.6,12.5,18.2,35.3
长沙,62,348,12250.523447401774,9500.0,16376.315530558886,167,48.0,28.23,112.94,1.551,1.1,18.2,15.6,34.9
厦门,30,177,10520.149253731342,9000.0,8261.849816086642,62,35.0,24.49,118.09,1.639,0.6,17.3,16.4,34.3
金华,18,34,17108.695652173912,10000.0,35816.75475177248,3,8.8,29.08,119.65,1.493,0.1,19.2,15.0,34.3
西安,96,934,9174.251801801802,8500.0,5659.274481982293,404,43.3,34.34,108.94,1.459,3.0,16.3,14.6,33.9
贵阳,22,101,9932.098765432098,9000.0,8512.767281567345,5,5.0,26.65,106.63,1.583,0.3,17.3,15.9,33.5
天津,61,485,8993.212747631353,8000.0,5018.3868529669635,175,36.1,39.34,117.36,1.642,1.5,15.4,16.5,33.4
宁波,35,235,14932.574642126789,10500.0,19860.174131443553,119,50.6,29.87,121.54,1.228,0.7,20.2,12.3,33.2
无锡,48,297,16176.595776772247,11500.0,17708.644439035535,133,44.8,31.49,120.31,1.011,0.9,22.1,10.1,33.1
福州,33,194,12659.166666666666,11000.0,6445.142863929267,93,47.9,26.08,119.3,1.127,0.6,21.1,11.3,33.0
东莞,107,1140,12462.083333333334,8000.0,20928.37723240286,311,27.3,23.05,113.75,1.385,3.6,15.4,13.9,32.9
南昌,42,210,11221.523364485982,9000.0,10153.280786901172,45,21.4,28.68,115.89,1.435,0.7,17.3,14.4,32.4
济南,58,403,9774.161144578313,8000.0,7148.240795692229,154,38.2,36.65,117.12,1.555,1.3,15.4,15.6,32.3
佛山,26,157,11245.799435028248,9000.0,8806.24524411005,51,32.5,23.02,113.12,1.395,0.5,17.3,14.0,31.8
绍兴,15,78,21125.0,12500.0,25185.719258052857,43,55.1,30.0,120.58,0.744,0.2,24.0,7.5,31.7
长春,36,126,9036.111111111111,8000.0,6677.940490974651,25,19.8,43.88,125.32,1.543,0.4,15.4,15.5,31.3
昆明,21,76,9544.642857142857,7500.0,9755.780005027455,26,34.2,25.04,102.71,1.66,0.2,14.4,16.6,31.200000000000003
石家庄,45,480,7549.546666666666,6500.0,3751.601990172331,147,30.6,38.04,114.48,1.678,1.5,12.5,16.8,30.8
青岛,36,243,8191.533333333334,7500.0,4429.070221947826,98,40.3,36.07,120.38,1.503,0.8,14.4,15.1,30.3
海口,18,40,9634.615384615385,8500.0,4723.468412740138,10,25.0,20.02,110.35,1.352,0.1,16.3,13.6,30.0
呼和浩特,26,78,11345.333333333334,7500.0,13838.716319750576,20,25.6,40.84,111.73,1.507,0.2,14.4,15.1,29.7
重庆,76,423,8070.857758620689,6000.0,6593.877589812728,102,24.1,29.43,106.91,1.672,1.3,11.5,16.8,29.6
太原,28,108,9879.12087912088,7500.0,8744.947957198761,41,38.0,37.87,112.55,1.489,0.3,14.4,14.9,29.6
潍坊,14,30,8388.888888888889,8000.0,3314.6535421632175,6,20.0,36.71,119.16,1.368,0.1,15.4,13.7,29.2
合肥,55,443,9140.899147727272,6000.0,7457.86842588072,119,26.9,31.85,117.27,1.619,1.4,11.5,16.2,29.1
兰州,16,36,11666.833333333334,8000.0,13809.41806843753,7,19.4,36.06,103.83,1.257,0.1,15.4,12.6,28.1
哈尔滨,22,62,8472.972972972973,7500.0,2616.576288104643,11,17.7,45.8,126.53,1.333,0.2,14.4,13.4,28.0
沈阳,42,219,9069.590361445784,8000.0,5005.375700574987,105,47.9,41.8,123.43,1.183,0.7,15.4,11.9,28.0
温州,20,171,14195.652173913044,10000.0,20931.45179840813,73,42.7,28.0,120.67,0.819,0.5,19.2,8.2,27.9
嘉兴,21,103,15418.181818181818,9500.0,27534.530843215412,45,43.7,30.75,120.76,0.886,0.3,18.2,8.9,27.4
常州,23,284,10273.193277310924,8000.0,12491.353967331557,89,31.3,31.81,119.97,0.951,0.9,15.4,9.5,25.8
大连,27,478,6467.554145516075,5500.0,3078.6932196399616,87,18.2,38.91,121.61,1.14,1.5,10.6,11.4,23.5
烟台,8,110,9472.527472527472,8000.0,5380.707634876163,73,66.4,37.54,121.39,0.464,0.3,15.4,4.7,20.400000000000002
唐山,12,556,5715.381700554529,4500.0,2748.990266621423,144,25.9,39.63,118.18,0.997,1.8,8.6,10.0,20.4
保定,30,416,5776.738544474393,5000.0,2753.7412161476454,85,20.4,38.87,115.48,0.649,1.3,9.6,6.5,17.4
