工作城市,交通运输,住宿餐饮,信息技术,制造业,卫生社会,居民服务,建筑业,房地产业,批发零售,教育,文体娱乐,水利环境,科学技术服务,租赁商务服务,金融业
上海,0,1,1007,67,0,1,8,0,35,0,3,0,71,431,2
东莞,0,5,4,90,0,0,9,0,45,0,0,0,38,64,0
佛山,0,1,0,52,0,0,0,0,12,0,1,0,18,34,1
北京,40,46,1312,243,57,94,253,167,526,15,169,8,2198,1423,96
南京,0,0,37,36,0,0,0,0,5,0,0,0,31,181,0
大连,0,0,1,25,0,0,0,1,0,0,0,0,17,22,0
天津,0,0,37,57,1,0,4,1,18,0,3,0,77,112,0
宁波,0,0,1,26,0,0,0,0,11,0,0,0,15,107,0
广州,1,3,40,36,0,0,5,0,37,0,0,0,47,134,2
成都,0,0,84,39,0,0,3,2,11,3,0,0,99,135,0
无锡,1,1,7,13,1,5,1,0,2,0,0,0,31,190,0
昆山,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
杭州,0,0,28,38,2,0,0,0,15,0,14,0,47,166,1
武汉,0,0,75,37,0,0,7,4,40,0,2,0,98,137,0
深圳,20,128,432,1133,5,154,213,104,782,42,35,2,358,624,32
苏州,7,16,187,537,13,38,97,40,193,4,13,12,521,1205,6
西安,0,0,72,5,0,0,0,1,3,0,0,0,65,141,0
郑州,0,0,7,16,0,0,7,3,8,0,0,0,121,108,0
重庆,0,0,25,10,0,0,4,2,2,0,0,0,38,62,1
长沙,0,2,16,42,0,0,0,0,11,11,1,0,63,105,0
青岛,0,0,59,24,0,0,0,0,3,0,0,0,38,58,0
