城市,年份,活跃企业数,中心数量,主中心占比,主中心经度,主中心纬度
北京,2023,620,2,53.4%,116.45309053431176,39.9307747817685
北京,2024,386,1,100.0%,116.35609012016891,39.94525585049792
北京,2025,313,1,100.0%,116.33663479376499,39.953081411220786
苏州,2023,306,5,59.5%,120.635623729861,31.321271588423688
苏州,2024,235,3,69.3%,120.64131553432813,31.295709443573685
苏州,2025,237,4,30.5%,120.67036014796152,31.270760111258078
深圳,2023,662,6,28.3%,114.04806763272029,22.648761858555435
深圳,2024,480,5,27.0%,113.92309390723051,22.551796795707638
深圳,2025,436,6,22.9%,113.93428127353489,22.535619113566394
